application, case, version, execution_idx, exception_name, frame_level, p_functional_mocking, functional_mocking_percent, p_reflection_on_private, reflection_start_percent, search_budget, population, fitness_function_value, fitness_function_time, fitness_evaluations, fitness_function_evolution

xwiki,XWIKI-13031,7.4,1,java.lang.ClassCastException,1,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13031,7.4,1,java.lang.ClassCastException,5,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13031,7.4,1,java.lang.ClassCastException,4,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13031,7.4,1,java.lang.ClassCastException,3,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13031,7.4,1,java.lang.ClassCastException,2,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13916,8.4,1,java.lang.ClassCastException,3,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13916,8.4,1,java.lang.ClassCastException,4,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13916,8.4,1,java.lang.ClassCastException,1,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13916,8.4,1,java.lang.ClassCastException,2,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13916,8.4,1,java.lang.ClassCastException,5,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13916,8.4,1,java.lang.ClassCastException,6,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13916,8.4,1,java.lang.ClassCastException,7,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13916,8.4,1,java.lang.ClassCastException,9,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13916,8.4,1,java.lang.ClassCastException,8,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13196,7.4.2,1,java.lang.IllegalArgumentException,1,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13196,7.4.2,1,java.lang.IllegalArgumentException,2,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13196,7.4.2,1,java.lang.IllegalArgumentException,3,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13196,7.4.2,1,java.lang.IllegalArgumentException,4,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13196,7.4.2,1,java.lang.IllegalArgumentException,5,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13196,7.4.2,1,java.lang.IllegalArgumentException,6,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13196,7.4.2,1,java.lang.IllegalArgumentException,7,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13196,7.4.2,1,java.lang.IllegalArgumentException,8,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,1,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13196,7.4.2,1,java.lang.IllegalArgumentException,9,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,2,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,5,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,3,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,4,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,6,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,7,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,9,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,8,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,10,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,11,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,12,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,13,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,14,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,15,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,17,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,16,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,18,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,20,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,19,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,21,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,22,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13372,7.4.2,1,java.lang.NullPointerException,23,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13031,7.4,1,java.lang.ClassCastException,4,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13031,7.4,1,java.lang.ClassCastException,3,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13031,7.4,1,java.lang.ClassCastException,2,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13031,7.4,1,java.lang.ClassCastException,1,0.8,0.5,0,0,62328,100,,,,
xwiki,XWIKI-13031,7.4,1,java.lang.ClassCastException,5,0.8,0.5,0,0,62328,100,,,,
